GEOGRAPHIC_REGION,REGION_COLOR,PROVINCE,DISTRICT,ZONE,YEAR,ECON_SCORE,ENVR_SCORE,FOREST_SCORE,AIR_SCORE,TEMP_SCORE
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2018,63.35820895522387,36.16417910447761,48.35820895522388,56.32835820895523,3.805970149253731
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2019,77.98507462686567,64.00497512437812,44.17910447761194,55.37313432835822,92.46268656716418
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2020,72.01492537313433,58.22885572139303,50.223880597014926,60.50746268656717,63.95522388059702
South East,#A5CD39,Binh Phuoc,Bu Dop,urban,2021,39.1044776119403,81.78109452736318,93.2089552238806,71.61194029850746,80.5223880597015
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2018,34.67987804878049,40.137195121951216,62.65243902439024,54.176829268292686,3.5823170731707314
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2019,25.53353658536585,64.71544715447153,33.079268292682926,67.77439024390245,93.29268292682926
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2020,36.4329268292683,42.19512195121951,8.003048780487806,59.054878048780495,59.52743902439025
South East,#A5CD39,Binh Phuoc,Bu Dang,rural,2021,35.823170731707314,53.03861788617886,8.231707317073171,73.14024390243902,77.7439024390244
South East,#A5CD39,Binh Phuoc,Bu Dang,total,2018,31.18668596237337,40.149541726965744,62.66280752532561,53.66136034732272,4.124457308248914
South East,#A5CD39,Binh Phuoc,Bu Dang,total,2019,26.555716353111432,63.27062228654125,31.25904486251809,66.80173661360348,91.75108538350216
